,,,W6UL342PU,W6UL342PU,W6UL342PU,W6UL342PU,W6UL354PU,W6UL354PU,W6UL354PU,W6UL354PU,W6UL352PU,W6UL352PU,W6UL352PU,W6UL352PU,W6DXML001SU,W6DXML001SU,W6JML121PU,W6JML121PU,W6JML119SU,W6JML119SU,W6UML357SU,W6UML357SU,W6RML420SU,W6RML420SU,W6UGK243PU,W6UGK243PU,W6UGK243PU,W6UGK243PU
,,,BL,BL,CA,CA,BL,BL,TP,TP,BL,BL,NA,NA,BL,BR,BL,MA,BL,NA,BL,PL,BL,TP,MA,MA,CA,CA
,,,A,D,A,D,A,D,A,D,A,D,A,D,D,D,D,D,D,D,D,D,D,D,K124,K134,K124,K134
WI1,WILLOW CORNER,5,1,1,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,,1,,1
BRO,BRONKHORSPRUIT,5,1,,1,,,1,,,,1,,1,1,1,1,1,1,1,1,1,1,1,1,,1,
SZ1,SHOPRITE WITBANK,5,1,,1,,1,,1,,1,,1,,1,1,1,1,,,1,1,1,1,1,,1,
HM1,HIGHVELD MALL,5,1,,1,,1,,1,,1,,1,,1,1,1,1,,,1,1,1,1,1,,1,
CM1,CITY MALL,5,1,,1,,1,,1,,1,,1,,,,1,1,,,1,1,1,1,1,,1,
CV1,CARLETONVILLE GATEWAY,5,1,,1,,1,,1,,1,,1,,,,1,1,,,1,1,,,1,,1,
RW1,RIVERWALK,5,1,,1,,1,,1,,1,,1,,,,1,1,,,1,1,,,1,,1,
KWG,KWA-GUQA,5,1,,1,,1,,1,,1,,1,,,,1,1,,,1,1,,,1,,1,
MZ1,MIDDLEBERG MALL,5,1,,1,,1,,1,,1,,1,,,,1,1,,,1,,,,1,,1,
HL1,HIGHLAND MEWS,5,1,,,,1,,1,,1,,1,,,,,,1,1,1,1,,,1,,,
PRY,PARYS,5,,,,,1,,1,,1,,1,,,,,,1,1,1,1,,,1,,,
TM1,TERMINUS,5,,,,,1,,,,1,,,,1,1,,,1,1,1,1,,,,,,
WC2,WESTACRES COMBO,5,,,,,1,,,,1,,,,1,1,,,1,1,1,1,,,,,,
MX2,MIDDLEBURG PNP COMBO,5,,,,,,,,,1,,,,1,1,,,1,1,1,,,,,,,
CMW,CENTRAL MALL WITBANK,5,,,,,,,,,1,,,,1,1,,,1,1,,,1,1,,,,
MX1,MIDDLEBURG PNP,5,,,,,,,,,,,,,1,1,,,1,1,,,,,,,,
CVM,CARLTONVILLE MALL,5,,,,,,,,,,,,,1,1,,,1,1,,,,,,,,
IKG,IKAGENG GATE,5,,,,,,,,,,,,,1,1,,,,,,,,,,,,
EC1,EASTGATE COMBO,6,1,1,1,1,2,1,2,1,2,1,1,1,3,3,1,1,2,2,3,3,2,2,1,1,1,1
PH1,PHUMLANI MALL,6,1,,1,,1,,1,,1,,1,,1,1,1,1,1,1,1,1,1,1,1,,1,
KE2,KEMPTON SQUARE,6,1,,1,,1,,1,,1,,1,,1,1,1,1,1,1,1,1,1,1,1,,1,
ES1,EASTGATE SHOES,6,1,,1,,1,,1,,1,,1,,1,1,1,1,1,1,1,1,1,1,1,,1,
